agency	unitId	incidentId	statusCode	latitude	longitude	statusUpdatedDatetime	gpsFixDatetime
CoStateTest	FixedUnit79	73da0fc3-af8f-4100-85f5-d0734ab40165	OnScene	39.200383	-108.259833	2024-07-02T16:49:13.074	2024-07-02T16:49:13.074
CoStateTest	FixedUnit96	e659b2bc-8e04-48c7-a9a1-24a6b5384f3f	Avail	39.160550	-108.539917	2024-06-26T09:03:09.576	2024-06-26T09:03:09.576
CoStateTest	FixedUnit89	bfb9fb7d-0f1c-4224-ad7b-84823e6d0936	Avail	39.298350	-108.711060	2024-07-04T17:00:00	2024-07-04T17:00:00
CoStateTest	FixedUnit56	0ecef670-11f3-47ad-951f-a21760c9bbd6	OnScene	39.136364	-109.006648	2024-07-14T20:20:04.532	2024-07-14T20:20:04.532
CoStateTest	FixedUnit81	837cda88-0bbf-4049-8b74-34a5c07d0a4f	Avail	39.123000	-108.924000	2024-07-17T13:51:32.891	2024-07-17T13:51:32.891
CoStateTest	FixedUnit57	14a8a84e-4194-40c2-a48d-d3e50b216209	Avail	38.498433	-108.899025	2024-06-23T12:45:00	2024-06-23T12:45:00
CoStateTest	FixedUnit93	d861764d-2321-4659-ae6e-2252deaf990e	Avail	39.125063	-108.122885	2024-07-02T12:02:59.25	2024-07-02T12:02:59.25
CoStateTest	FixedUnit88	bed87b13-9a55-4d6f-919a-ce9de07295ce	Avail	39.193867	-108.219550	2024-06-20T16:28:42.392	2024-06-20T16:28:42.392
CoStateTest	FixedUnit99	f548e7b8-c3f5-437b-8b16-ae2bb577046b	Avail	39.606283	-107.868783	2024-06-20T12:46:14.539	2024-06-20T12:46:14.539
CoStateTest	FixedUnit83	871a15fd-56ab-4cd5-9d79-92bd7c5f6df6	OnScene	38.601167	-108.967000	2024-07-03T18:43:00	2024-07-03T18:43:00
CoStateTest	FixedUnit82	83eb293a-3b55-4c31-a2d7-1552a32107a4	Avail	39.157467	-108.541000	2024-06-26T11:09:29.168	2024-06-26T11:09:29.168
CoStateTest	FixedUnit78	73534c4d-3819-486e-9b5a-bae0ee986bc5	Avail	38.524862	-108.828112	2024-07-03T12:02:19.221	2024-07-03T12:02:19.221
CoStateTest	FixedUnit55	0dfb31e2-056e-4578-973e-da877c11c1da	Avail	38.942333	-108.901667	2024-06-27T11:20:00	2024-06-27T11:20:00
CoStateTest	FixedUnit85	95aaa5a6-6cc5-41af-a2c1-831e3824a0c9	Avail	39.237950	-108.262067	2024-06-28T11:26:38.139	2024-06-28T11:26:38.139
